"id_pm","id_member","bcc","is_read","deleted","labels","is_new"
"1770","176","0","1","0","-1","0"
"102","3","0","1","0","-1","0"
"1774","176","0","1","0","-1","0"
"26","7","0","1","0","-1","0"
"7117","3995","0","1","0","-1","0"
"40","7","0","1","0","-1","0"
"2932","127","0","1","0","-1","0"
"3382","6","0","1","0","-1","0"
"62","10","0","1","0","-1","0"
"64","13","0","1","0","-1","0"
"353","33","0","1","0","-1","0"
"2526","299","0","1","0","-1","0"
"254","29","0","1","0","-1","0"
"127","27","0","1","0","-1","0"
"139","29","0","1","0","-1","0"
"129","12","0","1","0","-1","0"
"133","12","0","1","0","-1","0"
"4117","1191","0","1","0","-1","0"
"4121","786","0","1","0","-1","0"
"6544","73","0","1","0","-1","0"
"137","29","0","1","0","-1","0"
"145","29","0","1","0","-1","0"
"2461","69","0","1","0","-1","0"
"149","29","0","1","0","-1","0"
"153","29","0","1","0","-1","0"
"262","33","0","1","0","-1","0"
"157","27","0","1","0","-1","0"
"252","33","0","1","0","-1","0"
"2986","18","0","1","0","-1","0"
"172","27","0","1","0","-1","0"
"174","27","0","1","0","-1","0"
"248","33","0","1","0","-1","0"
"258","29","0","1","0","-1","0"
"6374","4","0","1","0","-1","0"
"7020","749","0","0","0","-1","0"
"6966","3821","0","1","0","-1","0"
"7590","4788","0","1","0","-1","0"
"407","54","0","1","0","-1","0"
"1705","163","0","1","0","-1","0"
"196","12","0","1","0","-1","0"
"868","12","0","1","0","-1","0"
"658","6","0","1","0","-1","0"
"1855","127","0","1","0","-1","0"
"266","29","0","1","0","-1","0"
"270","29","0","1","0","-1","0"
"272","29","0","1","0","-1","0"
"282","41","0","1","0","-1","0"
"296","33","0","1","0","-1","0"
"302","33","0","1","0","-1","0"
"313","29","0","1","0","-1","0"
"317","29","0","1","0","-1","0"
"330","45","0","1","0","-1","0"
"344","35","0","1","0","-1","0"
"2054","6","0","1","0","-1","0"
"346","33","0","1","0","-1","0"
"348","45","0","1","0","-1","0"
"8770","100","0","1","0","-1","0"
"376","46","0","0","0","-1","0"
"2966","127","0","1","0","-1","0"
"2968","104","0","1","0","-1","0"
"1827","193","0","1","0","-1","0"
"1045","33","0","1","0","-1","0"
"1760","176","0","1","0","-1","0"
"2409","138","0","1","0","-1","0"
"1716","138","0","1","0","-1","0"
"5473","1614","0","1","0","-1","0"
"385","54","0","1","0","-1","0"
"5584","770","0","1","0","-1","0"
"903","6","0","1","0","-1","0"
"8591","85","0","1","0","-1","0"
"5152","1217","0","0","0","-1","0"
"4206","85","0","1","0","-1","0"
"4006","114","0","1","0","-1","0"
"424","29","0","1","0","-1","0"
"801","27","0","1","0","-1","0"
"530","66","0","1","0","-1","0"
"532","33","0","1","0","-1","0"
"879","80","0","1","0","-1","0"
"900","33","0","1","0","-1","0"
"1695","163","0","1","0","-1","0"
"6016","1923","0","1","0","-1","0"
"738","54","0","1","0","-1","0"
"485","6","0","1","0","-1","0"
"497","63","0","1","0","-1","0"
"815","33","0","1","0","-1","0"
"992","83","0","1","0","-1","0"
"671","6","0","1","0","-1","0"
"2026","256","0","1","0","-1","0"
"6090","939","0","1","0","-1","0"
"3467","115","0","1","0","-1","0"
"792","56","0","1","0","-1","0"
"1634","173","0","1","0","-1","0"
"809","27","0","1","0","-1","0"
"813","27","0","1","0","-1","0"
"1691","163","0","1","0","-1","0"
"691","33","0","1","0","-1","0"
"695","33","0","1","0","-1","0"
"805","5","0","1","0","-1","0"
"1846","138","0","1","0","-1","0"
"907","33","0","1","0","-1","0"
"911","6","0","1","0","-1","0"
"913","6","0","1","0","-1","0"
"7923","5497","0","1","0","-1","0"
"9778","5720","0","1","0","-1","0"
"7973","1337","0","1","0","-1","0"
"7525","4316","0","1","0","-1","0"
"998","74","0","1","0","-1","0"
"2036","127","0","1","0","-1","0"
"2982","85","0","1","0","-1","0"
"1851","127","0","1","0","-1","0"
"2415","311","0","1","0","-1","0"
"1025","7","0","1","0","-1","0"
"1029","33","0","1","0","-1","0"
"1041","33","0","1","0","-1","0"
"5648","1666","0","1","0","-1","0"
"1720","185","0","0","0","-1","0"
"1721","173","0","1","0","-1","0"
"7975","5462","0","1","0","-1","0"
"1832","138","0","1","0","-1","0"
"1148","96","0","1","0","-1","0"
"1666","113","0","1","0","-1","0"
"3280","6","0","1","0","-1","0"
"3284","6","0","1","0","-1","0"
"3700","898","0","1","0","-1","0"
"1797","141","0","1","0","-1","0"
"1535","163","0","1","0","-1","0"
"1758","138","0","1","0","-1","0"
"1370","56","0","1","0","-1","0"
"2614","356","0","1","0","-1","0"
"1752","127","0","1","0","-1","0"
"2357","69","0","1","0","-1","0"
"1354","33","0","1","0","-1","0"
"1302","57","0","1","0","-1","0"
"2674","104","0","1","0","-1","0"
"1748","127","0","1","0","-1","0"
"1543","163","0","1","0","-1","0"
"3511","92","0","1","0","-1","0"
"1352","27","0","1","0","-1","0"
"1325","98","0","1","0","-1","0"
"1345","27","0","1","0","-1","0"
"1744","127","0","1","0","-1","0"
"1539","163","0","1","0","-1","0"
"2524","343","0","1","0","-1","0"
"1347","98","0","1","0","-1","0"
"1714","138","0","1","0","-1","0"
"1385","97","0","1","0","-1","0"
"1389","97","0","1","0","-1","0"
"2062","120","0","1","0","-1","0"
"1395","97","0","1","0","-1","0"
"2508","127","0","1","0","-1","0"
"1807","27","0","1","0","-1","0"
"1764","176","0","1","0","-1","0"
"9144","7199","0","1","0","-1","0"
"1801","27","0","1","0","-1","0"
"1803","141","0","1","0","-1","0"
"2684","104","0","1","0","-1","0"
"2129","269","0","1","0","-1","0"
"2528","313","0","1","0","-1","0"
"2530","92","0","1","0","-1","0"
"4631","1298","0","1","0","-1","0"
"6537","2749","0","1","0","-1","0"
"6539","2778","0","1","0","-1","0"
"6540","4","0","1","0","-1","0"
"6542","2778","0","1","0","-1","0"
"1476","143","0","1","0","-1","0"
"1728","176","0","1","0","-1","0"
"1497","69","0","1","0","-1","0"
"3994","1092","0","1","0","-1","0"
"2608","359","0","1","0","-1","0"
"3020","18","0","1","0","-1","0"
"4039","1084","0","1","0","-1","0"
"4040","655","0","0","0","-1","0"
"3026","561","0","1","0","-1","0"
"4644","1298","0","1","0","-1","0"
"4646","952","0","1","0","-1","0"
"4647","1298","0","1","0","-1","0"
"5060","639","0","1","0","-1","0"
"2600","365","0","1","0","-1","0"
"3539","27","0","1","0","-1","0"
"3509","85","0","1","0","-1","0"
"3146","16","0","1","0","-1","0"
"3148","269","0","1","0","-1","0"
"6534","4","0","1","0","-1","0"
"6687","33","0","1","0","-1","0"
"6689","1543","0","1","0","-1","0"
"2468","299","0","1","0","-1","0"
"2520","343","0","1","0","-1","0"
"5778","1254","0","1","0","-1","0"
"1598","173","0","1","0","-1","0"
"5782","1254","0","1","0","-1","0"
"1612","41","0","1","0","-1","0"
"1622","173","0","1","0","-1","0"
"2425","311","0","1","0","-1","0"
"2516","343","0","1","0","-1","0"
"1902","173","0","1","0","-1","0"
"2760","311","0","1","0","-1","0"
"2764","311","0","1","0","-1","0"
"6699","3273","0","1","0","-1","0"
"2574","361","0","1","0","-1","0"
"7988","5652","0","0","0","-1","0"
"4861","85","0","1","0","-1","0"
"4858","1198","0","1","0","-1","0"
"1946","127","0","1","0","-1","0"
"2220","299","0","1","0","-1","0"
"3129","636","0","1","0","-1","0"
"4634","1298","0","1","0","-1","0"
"4317","498","0","1","0","-1","0"
"1976","127","0","1","0","-1","0"
"6685","33","0","1","0","-1","0"
"2120","114","0","1","0","-1","0"
"1988","127","0","1","0","-1","0"
"2741","311","0","1","0","-1","0"
"1997","173","0","0","0","-1","0"
"1999","173","0","1","0","-1","0"
"3583","806","0","1","0","-1","0"
"5510","1203","0","1","0","-1","0"
"3056","127","0","1","0","-1","0"
"6452","2666","0","1","0","-1","0"
"6461","1337","0","1","0","-1","0"
"6454","4","0","1","0","-1","0"
"6456","1393","0","1","0","-1","0"
"6458","1228","0","1","0","-1","0"
"2253","69","0","1","0","-1","0"
"2254","104","0","1","0","-1","0"
